iter	Passed	Remaining
0	324	32115
1	565	27702
2	772	24989
3	980	23528
4	1191	22635
5	1401	21958
6	1608	21366
7	1816	20895
8	2024	20466
9	2233	20104
10	2446	19791
11	2658	19492
12	2874	19235
13	3096	19020
14	3327	18857
15	3542	18600
16	3755	18336
17	3968	18078
18	4179	17817
19	4392	17568
20	4602	17313
21	4820	17089
22	5035	16857
23	5270	16690
24	5491	16474
25	5706	16241
26	5915	15993
27	6167	15858
28	6389	15642
29	6602	15404
30	6816	15173
31	7030	14940
32	7245	14710
33	7463	14487
34	7680	14263
35	7899	14044
36	8118	13822
37	8338	13604
38	8555	13381
39	8774	13162
40	9021	12982
41	9246	12769
42	9467	12550
43	9693	12336
44	9907	12108
45	10134	11897
46	10375	11700
47	10597	11480
48	10826	11268
49	11044	11044
50	11269	10827
51	11488	10604
52	11711	10386
53	11948	10178
54	12169	9956
55	12373	9722
56	12599	9504
57	12828	9289
58	13050	9068
59	13257	8838
60	13457	8603
61	13674	8381
62	13883	8154
63	14104	7933
64	14308	7704
65	14524	7482
66	14768	7273
67	14971	7045
68	15189	6824
69	15404	6602
70	15631	6384
71	15845	6162
72	16050	5936
73	16276	5718
74	16502	5500
75	16713	5278
76	16931	5057
77	17146	4836
78	17355	4613
79	17595	4398
80	17814	4178
81	18030	3957
82	18253	3738
83	18475	3519
84	18686	3297
85	18895	3076
86	19121	2857
87	19331	2636
88	19552	2416
89	19775	2197
90	19991	1977
91	20189	1755
92	20433	1538
93	20650	1318
94	20873	1098
95	21074	878
96	21287	658
97	21501	438
98	21710	219
99	21918	0
